table_id,pdf_id,format_id,anchor_page,continuation_page,anchor_printed_page,continuation_printed_page
kheri_civic_001,kheri_civic_1971,format_001,1,2,,
kheri_mededu_001,kheri_mededu_1971,format_002,1,2,,
kheri_tehsil_001,kheri_tehsil_1971,format_003,1,2,,
lucknow_civic_001,lucknow_civic_1971,format_001,1,2,,
lucknow_mededu_001,lucknow_mededu_1971,format_002,1,2,,
lucknow_tehsil_001,lucknow_tehsil_1971,format_003,1,2,,
mainpuri_civic_001,mainpuri_civic_1971,format_001,1,2,,
mainpuri_mededu_001,mainpuri_mededu_1971,format_002,1,2,,
mainpuri_tehsil_001,mainpuri_tehsil_1971,format_003,1,2,,
mathura_civic_001,mathura_civic_1971,format_001,1,2,,
mathura_mededu_001,mathura_mededu_1971,format_002,1,2,,
mathura_tehsil_001,mathura_tehsil_1971,format_003,1,2,,
meerut_civic_001,meerut_civic_1971,format_001,1,2,,
meerut_mededu_001,meerut_mededu_1971,format_002,1,2,,
meerut_tehsil_001,meerut_tehsil_1971,format_003,1,2,,
mirzapur_civic_001,mirzapur_civic_1971,format_001,1,2,,
mirzapur_mededu_001,mirzapur_mededu_1971,format_002,1,2,,
moradabad_civic_001,moradabad_civic_1971,format_001,1,2,10,11
moradabad_mededu_001,moradabad_mededu_1971,format_002,1,2,12,13
moradabad_tehsil_001,moradabad_tehsil_1971,format_003,1,2,304,305
muzaffarnagar_civic_001,muzaffarnagar_civic_1971,format_001,1,2,,
muzaffarnagar_mededu_001,muzaffarnagar_mededu_1971,format_002,1,2,,
muzaffarnagar_tehsil_001,muzaffarnagar_tehsil_1971,format_003,1,2,,
nainital_civic_001,nainital_civic_1971,format_001,1,2,6,7
nainital_mededu_001,nainital_mededu_1971,format_002,1,2,8,9
nainital_tehsil_001,nainital_tehsil_1971,format_003,1,2,194,195
parthpgad_civic_001,parthpgad_civic_1971,format_001,1,2,,
parthpgad_mededu_001,parthpgad_mededu_1971,format_002,1,2,,
parthpgad_tehsil_001,parthpgad_tehsil_1971,format_003,1,2,,
peelibhit_civic_001,peelibhit_civic_1971,format_001,1,2,,
peelibhit_mededu_001,peelibhit_mededu_1971,format_002,1,2,,
peelibhit_tehsil_001,peelibhit_tehsil_1971,format_003,1,2,,
pithoragarh_civic_001,pithoragarh_civic_1971,format_001,1,2,,
pithoragarh_mededu_001,pithoragarh_mededu_1971,format_002,1,2,,
pithoragarh_tehsil_001,pithoragarh_tehsil_1971,format_003,1,2,,
rae_bareli_civic_001,rae_bareli_civic_1971,format_001,1,2,,
rae_bareli_mededu_001,rae_bareli_mededu_1971,format_002,1,2,,
rae_bareli_tehsil_001,rae_bareli_tehsil_1971,format_003,1,2,,
rampur_civic_001,rampur_civic_1971,format_001,1,2,,
rampur_mededu_001,rampur_mededu_1971,format_002,1,2,,
rampur_tehsil_001,rampur_tehsil_1971,format_003,1,2,,
saharanpur_civic_001,saharanpur_civic_1971,format_001,1,2,,
saharanpur_mededu_001,saharanpur_mededu_1971,format_002,1,2,,
saharanpur_tehsil_001,saharanpur_tehsil_1971,format_003,1,2,,
shahjahanpur_civic_001,shahjahanpur_civic_1971,format_001,1,2,,
shahjahanpur_mededu_001,shahjahanpur_mededu_1971,format_002,1,2,,
shahjahanpur_tehsil_001,shahjahanpur_tehsil_1971,format_003,1,2,,
sitapur_civic_001,sitapur_civic_1971,format_001,1,2,6,7
sitapur_mededu_001,sitapur_mededu_1971,format_002,1,2,8,9
sitapur_tehsil_001,sitapur_tehsil_1971,format_003,1,2,240,241
sultanpur_civic_001,sultanpur_civic_1971,format_001,1,2,6,7
sultanpur_mededu_001,sultanpur_mededu_1971,format_002,1,2,6,7
sultanpur_tehsil_001,sultanpur_tehsil_1971,format_003,1,2,250,251
tehri_garhwal_civic_001,tehri_garhwal_civic_1971,format_001,1,2,,
tehri_garhwal_mededu_001,tehri_garhwal_mededu_1971,format_002,1,2,,
tehri_garhwal_tehsil_001,tehri_garhwal_tehsil_1971,format_003,1,2,,
unnao_civic_001,unnao_civic_1971,format_001,1,2,4,5
unnao_mededu_001,unnao_mededu_1971,format_002,1,2,6,7
unnao_tehsil_001,unnao_tehsil_1971,format_003,1,2,164,165
uttar_kashi_civic_001,uttar_kashi_civic_1971,format_001,1,2,,
uttar_kashi_mededu_001,uttar_kashi_mededu_1971,format_002,1,2,,
uttar_kashi_tehsil_001,uttar_kashi_tehsil_1971,format_003,1,2,,
varanasi_civic_001,varanasi_civic_1971,format_001,1,2,10,11
varanasi_mededu_001,varanasi_mededu_1971,format_002,1,2,12,13
