pdf_id,file_name,state,district,year,format_id,source_page_start,source_page_end,table_id,anchor_page,continuation_page,anchor_printed_page,continuation_printed_page
chamoli_mededu_1971,chamoli_mededu_1971.pdf,Uttar Pradesh,Chamoli,1971,format_002,24,25,chamoli_mededu_001,1,2,6,7
chamoli_tehsil_1971,chamoli_tehsil_1971.pdf,Uttar Pradesh,Chamoli,1971,format_003,168,169,chamoli_tehsil_001,1,2,154,155
dehra_dun_civic_1971,dehra_dun_civic_1971.pdf,Uttar Pradesh,Dehra Dun,1971,format_001,31,32,dehra_dun_civic_001,1,2,10,11
dehra_dun_mededu_1971,dehra_dun_mededu_1971.pdf,Uttar Pradesh,Dehra Dun,1971,format_002,33,34,dehra_dun_mededu_001,1,2,12,13
dehra_dun_tehsil_1971,dehra_dun_tehsil_1971.pdf,Uttar Pradesh,Dehra Dun,1971,format_003,117,118,dehra_dun_tehsil_001,1,2,96,97
deoria_civic_1971,deoria_civic_1971.pdf,Uttar Pradesh,Deoria,1971,format_001,25,26,deoria_civic_001,1,2,6,7
deoria_mededu_1971,deoria_mededu_1971.pdf,Uttar Pradesh,Deoria,1971,format_002,25,26,deoria_mededu_001,1,2,6,7
deoria_tehsil_1971,deoria_tehsil_1971.pdf,Uttar Pradesh,Deoria,1971,format_003,381,382,deoria_tehsil_001,1,2,364,365
etah_civic_1971,etah_civic_1971.pdf,Uttar Pradesh,Etah,1971,format_001,25,26,etah_civic_001,1,2,6,7
etah_mededu_1971,etah_mededu_1971.pdf,Uttar Pradesh,Etah,1971,format_002,27,28,etah_mededu_001,1,2,8,9
etah_tehsil_1971,etah_tehsil_1971.pdf,Uttar Pradesh,Etah,1971,format_003,189,190,etah_tehsil_001,1,2,170,171
etawah_civic_1971,etawah_civic_1971.pdf,Uttar Pradesh,Etawah,1971,format_001,24,25,etawah_civic_001,1,2,6,7
etawah_mededu_1971,etawah_mededu_1971.pdf,Uttar Pradesh,Etawah,1971,format_002,24,25,etawah_mededu_001,1,2,6,7
etawah_tehsil_1971,etawah_tehsil_1971.pdf,Uttar Pradesh,Etawah,1971,format_003,180,181,etawah_tehsil_001,1,2,162,163
faizabad_civic_1971,faizabad_civic_1971.pdf,Uttar Pradesh,Faizabad,1971,format_001,26,27,faizabad_civic_001,1,2,6,7
faizabad_mededu_1971,faizabad_mededu_1971.pdf,Uttar Pradesh,Faizabad,1971,format_002,28,29,faizabad_mededu_001,1,2,8,9
faizabad_tehsil_1971,faizabad_tehsil_1971.pdf,Uttar Pradesh,Faizabad,1971,format_003,296,297,faizabad_tehsil_001,1,2,276,277
farrukhabad_civic_1971,farrukhabad_civic_1971.pdf,Uttar Pradesh,Farrukhabad,1971,format_001,18,19,farrukhabad_civic_001,1,2,6,7
farrukhabad_mededu_1971,farrukhabad_mededu_1971.pdf,Uttar Pradesh,Farrukhabad,1971,format_002,20,21,farrukhabad_mededu_001,1,2,8,9
farrukhabad_tehsil_1971,farrukhabad_tehsil_1971.pdf,Uttar Pradesh,Farrukhabad,1971,format_003,190,191,farrukhabad_tehsil_001,1,2,180,181
fatehpur_civic_1971,fatehpur_civic_1971.pdf,Uttar Pradesh,Fatehpur,1971,format_001,28,29,fatehpur_civic_001,1,2,6,7
fatehpur_mededu_1971,fatehpur_mededu_1971.pdf,Uttar Pradesh,Fatehpur,1971,format_002,28,29,fatehpur_mededu_001,1,2,6,7
fatehpur_tehsil_1971,fatehpur_tehsil_1971.pdf,Uttar Pradesh,Fatehpur,1971,format_003,178,179,fatehpur_tehsil_001,1,2,156,157
garhwal_civic_1971,garhwal_civic_1971.pdf,Uttar Pradesh,Garhwal,1971,format_001,25,26,garhwal_civic_001,1,2,6,7
garhwal_mededu_1971,garhwal_mededu_1971.pdf,Uttar Pradesh,Garhwal,1971,format_002,27,28,garhwal_mededu_001,1,2,8,9
garhwal_tehsil_1971,garhwal_tehsil_1971.pdf,Uttar Pradesh,Garhwal,1971,format_003,355,356,garhwal_tehsil_001,1,2,336,337
gonda_civic_1971,gonda_civic_1971.pdf,Uttar Pradesh,Gonda,1971,format_001,23,24,gonda_civic_001,1,2,6,7
gonda_mededu_1971,gonda_mededu_1971.pdf,Uttar Pradesh,Gonda,1971,format_002,23,24,gonda_mededu_001,1,2,6,7
gonda_tehsil_1971,gonda_tehsil_1971.pdf,Uttar Pradesh,Gonda,1971,format_003,293,294,gonda_tehsil_001,1,2,276,277
gorakhpur_civic_1971,gorakhpur_civic_1971.pdf,Uttar Pradesh,Gorakhpur,1971,format_001,28,29,gorakhpur_civic_001,1,2,6,7
gorakhpur_mededu_1971,gorakhpur_mededu_1971.pdf,Uttar Pradesh,Gorakhpur,1971,format_002,28,29,gorakhpur_mededu_001,1,2,6,7
gorakhpur_tehsil_1971,gorakhpur_tehsil_1971.pdf,Uttar Pradesh,Gorakhpur,1971,format_003,456,457,gorakhpur_tehsil_001,1,2,434,435
hamirpur_civic_1971,hamirpur_civic_1971.pdf,Uttar Pradesh,Hamirpur,1971,format_001,26,27,hamirpur_civic_001,1,2,6,7
hamirpur_mededu_1971,hamirpur_mededu_1971.pdf,Uttar Pradesh,Hamirpur,1971,format_002,26,27,hamirpur_mededu_001,1,2,6,7
hamirpur_tehsil_1971,hamirpur_tehsil_1971.pdf,Uttar Pradesh,Hamirpur,1971,format_003,154,155,hamirpur_tehsil_001,1,2,134,135
hardoi_civic_1971,hardoi_civic_1971.pdf,Uttar Pradesh,Hardoi,1971,format_001,30,31,hardoi_civic_001,1,2,6,7
hardoi_mededu_1971,hardoi_mededu_1971.pdf,Uttar Pradesh,Hardoi,1971,format_002,32,33,hardoi_mededu_001,1,2,8,9
hardoi_tehsil_1971,hardoi_tehsil_1971.pdf,Uttar Pradesh,Hardoi,1971,format_003,228,229,hardoi_tehsil_001,1,2,204,205
jalaun_civic_1971,jalaun_civic_1971.pdf,Uttar Pradesh,Jalaun,1971,format_001,25,26,jalaun_civic_001,1,2,6,7
jalaun_mededu_1971,jalaun_mededu_1971.pdf,Uttar Pradesh,Jalaun,1971,format_002,27,28,jalaun_mededu_001,1,2,8,9
jalaun_tehsil_1971,jalaun_tehsil_1971.pdf,Uttar Pradesh,Jalaun,1971,format_003,149,150,jalaun_tehsil_001,1,2,130,131
jaunpur_civic_1971,jaunpur_civic_1971.pdf,Uttar Pradesh,Jaunpur,1971,format_001,27,28,jaunpur_civic_001,1,2,6,7
jaunpur_mededu_1971,jaunpur_mededu_1971.pdf,Uttar Pradesh,Jaunpur,1971,format_002,29,30,jaunpur_mededu_001,1,2,8,9
