state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Sikkim,Sikkim,civic_amenities,Trimmed,1981/Sikkim/1981 Sikkim.pdf,1981 Sikkim.pdf,Village/Town Directory volume,English or bilingual,"[201, 202]","[null, null]",output/pdf/1981_trimmed/Sikkim/civic amenities/1981_Sikkim_civic_amenities.pdf,Town Directory Statement IV Civic and other Amenities; source page 203 begins the medical and educational statement.,"[""manual_verified""]"
Sikkim,Sikkim,medical_educational_amenities,Trimmed,1981/Sikkim/1981 Sikkim.pdf,1981 Sikkim.pdf,Village/Town Directory volume,English or bilingual,"[203, 204]","[null, null]",output/pdf/1981_trimmed/Sikkim/mededu/1981_Sikkim_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities; source page 205 begins Statement VI.","[""manual_verified""]"
Sikkim,Sikkim,tehsil_appendix,Trimmed,1981/Sikkim/1981 Sikkim.pdf,1981 Sikkim.pdf,Village/Town Directory volume,English or bilingual,"[171, 172]","[null, null]",output/pdf/1981_trimmed/Sikkim/tehsil appendix/1981_Sikkim_tehsil_appendix.pdf,"Village Directory Appendix-I Districtwise Abstract of Educational, Medical and other Amenities for North, East, South and West administrative districts; source page 173 begins the land-use appendix.","[""manual_verified""]"
