state,source_state_folder,district,source,table,table_label,status,source_pages,output,output_page_count,geometry_ok,reason
Andra Pradesh,Andra Pradesh,Kurnool,1971\Andra Pradesh\1971 Kurnool.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Kurnool,1971\Andra Pradesh\1971 Kurnool.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Kurnool,1971\Andra Pradesh\1971 Kurnool.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Mahbubnagar,1971\Andra Pradesh\1971 Mahbubnagar.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Mahbubnagar,1971\Andra Pradesh\1971 Mahbubnagar.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Mahbubnagar,1971\Andra Pradesh\1971 Mahbubnagar.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Medak,1971\Andra Pradesh\1971 Medak.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Medak,1971\Andra Pradesh\1971 Medak.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Medak,1971\Andra Pradesh\1971 Medak.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Nalgonda,1971\Andra Pradesh\1971 Nalgonda.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Nalgonda,1971\Andra Pradesh\1971 Nalgonda.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Nalgonda,1971\Andra Pradesh\1971 Nalgonda.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Nellore,1971\Andra Pradesh\1971 Nellore.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Nellore,1971\Andra Pradesh\1971 Nellore.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Nellore,1971\Andra Pradesh\1971 Nellore.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Nizamabad,1971\Andra Pradesh\1971 Nizamabad.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Nizamabad,1971\Andra Pradesh\1971 Nizamabad.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Nizamabad,1971\Andra Pradesh\1971 Nizamabad.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Ongole (Prakasam),1971\Andra Pradesh\1971 Ongole (Prakasam).pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Ongole (Prakasam),1971\Andra Pradesh\1971 Ongole (Prakasam).pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Ongole (Prakasam),1971\Andra Pradesh\1971 Ongole (Prakasam).pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Srikakulam,1971\Andra Pradesh\1971 Srikakulam.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Srikakulam,1971\Andra Pradesh\1971 Srikakulam.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Srikakulam,1971\Andra Pradesh\1971 Srikakulam.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Visakhapatnam,1971\Andra Pradesh\1971 Visakhapatnam.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Visakhapatnam,1971\Andra Pradesh\1971 Visakhapatnam.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Visakhapatnam,1971\Andra Pradesh\1971 Visakhapatnam.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Warangal,1971\Andra Pradesh\1971 Warangal.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Warangal,1971\Andra Pradesh\1971 Warangal.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Warangal,1971\Andra Pradesh\1971 Warangal.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,West Godavari,1971\Andra Pradesh\1971 West Godavari.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,West Godavari,1971\Andra Pradesh\1971 West Godavari.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,West Godavari,1971\Andra Pradesh\1971 West Godavari.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
