state,category,table,filename,destination,sha256,page_count
Gujarat,tehsil appendix,tehsil_appendix,1981_Mahesana_tehsil_appendix.pdf,output/pdf/1981_trimmed/Gujarat/tehsil appendix/1981_Mahesana_tehsil_appendix.pdf,5034b02f1a2d5b525d5768286620889347ff248c705a37ed230239078f451e6f,4
Gujarat,civic amenities,civic_amenities,1981_Panch Mahals_civic_amenities.pdf,output/pdf/1981_trimmed/Gujarat/civic amenities/1981_Panch Mahals_civic_amenities.pdf,d006d2db5f7c8a305d9ae4a1c71f2b3a4701b8a140bce9a52a0257ada193d952,2
Gujarat,mededu,medical_educational_amenities,1981_Panch Mahals_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Gujarat/mededu/1981_Panch Mahals_medical_educational_amenities.pdf,2cd592a57faab7e1d3c69d4f9146dce2f178abdc5b8738cfeeff21ed21c656ff,2
Gujarat,tehsil appendix,tehsil_appendix,1981_Panch Mahals_tehsil_appendix.pdf,output/pdf/1981_trimmed/Gujarat/tehsil appendix/1981_Panch Mahals_tehsil_appendix.pdf,0e99190fb0e54d879e543b2762b37474baed5daf9c76baa6db1ffed0aebd4135,4
Gujarat,civic amenities,civic_amenities,1981_Rajkot_civic_amenities.pdf,output/pdf/1981_trimmed/Gujarat/civic amenities/1981_Rajkot_civic_amenities.pdf,b35266f678cfcb3862f15e355856e196da24168d841d9113d180732cb662f5d3,2
Gujarat,mededu,medical_educational_amenities,1981_Rajkot_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Gujarat/mededu/1981_Rajkot_medical_educational_amenities.pdf,3e646549934cbe5a72cb43a7825dcf195c1382e6b1083fd232bab8e2e5e9ef40,2
Gujarat,tehsil appendix,tehsil_appendix,1981_Rajkot_tehsil_appendix.pdf,output/pdf/1981_trimmed/Gujarat/tehsil appendix/1981_Rajkot_tehsil_appendix.pdf,d14fed57effbba8d64607a213a325c7139f313d84cb2a8a04a5c598d6cf06e50,4
Gujarat,civic amenities,civic_amenities,1981_Sabar Kantha_civic_amenities.pdf,output/pdf/1981_trimmed/Gujarat/civic amenities/1981_Sabar Kantha_civic_amenities.pdf,220e43d030b7263667ebea17c2e06fc0d78a352a40574224d9ea45c051753276,2
Gujarat,mededu,medical_educational_amenities,1981_Sabar Kantha_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Gujarat/mededu/1981_Sabar Kantha_medical_educational_amenities.pdf,e3240108d2913395ec6c86d52d98cdbae104317e48359d30656ee3a7b7b1627b,2
Gujarat,tehsil appendix,tehsil_appendix,1981_Sabar Kantha_tehsil_appendix.pdf,output/pdf/1981_trimmed/Gujarat/tehsil appendix/1981_Sabar Kantha_tehsil_appendix.pdf,31bf4171f4c68071b49a75f2d6191dba39318ed6ecec3ee4664f14830989a7d4,4
Gujarat,civic amenities,civic_amenities,1981_Surat_civic_amenities.pdf,output/pdf/1981_trimmed/Gujarat/civic amenities/1981_Surat_civic_amenities.pdf,b356cc8e376237f918e6a22003277b3d1a3fb6cff4d5be46ec8be85354ebe7a4,4
Gujarat,mededu,medical_educational_amenities,1981_Surat_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Gujarat/mededu/1981_Surat_medical_educational_amenities.pdf,7a79df55dc60971f5240fea2dd62a2b6b827826aff46e945423f79af327da8cc,4
