state,district,table,status,source,source_filename,volume_type,source_pages_selected,printed_page_labels,output,reason,flags
Andra Pradesh,Adilabad,civic_amenities,Trimmed,1981/Andra Pradesh/1981 Adilabad.pdf,1981 Adilabad.pdf,classification deferred,"[354, 355]","[""266"", ""267""]",output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Adilabad_civic_amenities.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
Andra Pradesh,Adilabad,medical_educational_amenities,Trimmed,1981/Andra Pradesh/1981 Adilabad.pdf,1981 Adilabad.pdf,Village/Town Directory volume,"[358, 359]","[""270"", ""271""]",output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Adilabad_medical_educational_amenities.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
Andra Pradesh,Adilabad,tehsil_appendix,Trimmed,1981/Andra Pradesh/1981 Adilabad.pdf,1981 Adilabad.pdf,Village/Town Directory volume,"[260, 261, 262, 263]","[""174"", ""175"", ""176"", ""177""]",output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Adilabad_tehsil_appendix.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
Gujarat,Ahmadabad,civic_amenities,Trimmed,1981/Gujarat/1981 Ahmadabad.pdf,1981 Ahmadabad.pdf,classification deferred,"[208, 209, 210, 211]","[null, null, null, null]",output/pdf/1981_trimmed/Gujarat/civic amenities/1981_Ahmadabad_civic_amenities.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
Gujarat,Ahmadabad,medical_educational_amenities,Trimmed,1981/Gujarat/1981 Ahmadabad.pdf,1981 Ahmadabad.pdf,non-directory administrative volume,"[216, 217, 218, 219, 220, 221]","[null, null, null, null, null, null]",output/pdf/1981_trimmed/Gujarat/mededu/1981_Ahmadabad_medical_educational_amenities.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
Gujarat,Ahmadabad,tehsil_appendix,Trimmed,1981/Gujarat/1981 Ahmadabad.pdf,1981 Ahmadabad.pdf,non-directory administrative volume,"[176, 177, 178, 179]","[null, null, null, null]",output/pdf/1981_trimmed/Gujarat/tehsil appendix/1981_Ahmadabad_tehsil_appendix.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
Uttar Pradesh,Allahabad,civic_amenities,Trimmed,1981/Uttar Pradesh/1981 Allahabad.pdf,1981 Allahabad.pdf,classification deferred,"[741, 742, 743, 744]","[""690"", ""691"", ""692"", ""693""]",output/pdf/1981_trimmed/Uttar Pradesh/civic amenities/1981_Allahabad_civic_amenities.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
Uttar Pradesh,Allahabad,medical_educational_amenities,Trimmed,1981/Uttar Pradesh/1981 Allahabad.pdf,1981 Allahabad.pdf,Village/Town Directory volume,"[747, 748, 749, 750, 751, 752]","[""696"", ""697"", ""698"", ""699"", ""700"", null]",output/pdf/1981_trimmed/Uttar Pradesh/mededu/1981_Allahabad_medical_educational_amenities.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
Uttar Pradesh,Allahabad,tehsil_appendix,Trimmed,1981/Uttar Pradesh/1981 Allahabad.pdf,1981 Allahabad.pdf,Village/Town Directory volume,"[577, 578, 579, 580]","[null, ""527"", null, ""529""]",output/pdf/1981_trimmed/Uttar Pradesh/tehsil appendix/1981_Allahabad_tehsil_appendix.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
