sl_no,sl_no_flag,town_name,town_name_flag,road_length_km,road_length_km_flag,sewerage_drainage_system,sewerage_drainage_system_flag,water_borne_latrines,water_borne_latrines_flag,service_latrines,service_latrines_flag,other_latrines,other_latrines_flag,night_soil_disposal_method,night_soil_disposal_method_flag,water_source,water_source_flag,water_capacity,water_capacity_flag,fire_service,fire_service_flag,elec_domestic,elec_domestic_flag,elec_industrial,elec_industrial_flag,elec_commercial,elec_commercial_flag,elec_road_light,elec_road_light_flag,elec_other,elec_other_flag,pucca_road_km,kutcha_road_km,row_type,reference_target,requires_review,row_index,pdf_id,district,state,year,format_id,table_id,source_pdf,source_pdf_sha256,source_page_start,source_page_end,anchor_printed_page,continuation_printed_page,metadata_workbook,metadata_workbook_sha256,extracted_at
1,,Achhnera,,PR (12) KR (7),,PT/OSD,,166,,"2,580",,3,,HC/MT/B,,TW/OHT,,"78,558 Galls.",,Yes,,560,,22,,44,,200,,...,,12.0,,ORDINARY,,False,0,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
2,,Agra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Agra City Urban Agglomeration,False,1,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
3,,Agra Cantt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Agra City Urban Agglomeration,False,2,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
,,Agra City Urban Agglomeration,,PR (403) KR (58),,S/PT/OSD,,"3,677",,"68,263",,105,,MT/HL/B/HC,,W/TW/OHT,,"3,210,000 Galls.",,Yes,,"29,264",,"2,834",,"11,066",,"9,112",,...,,403.0,58.0,AGGREGATE,,False,3,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
(i),,Agra,,PR (374) KR (35),,S/OSD,,"2,571",,"58,924",,105,,MT/HC/B,,TW/OHT,,"2,500,000 Galls.",,Yes,,"25,764",,"2,762",,"10,173",,"7,985",,...,,374.0,35.0,COMPONENT,,False,4,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
(ii),,Agra Cantt.,,PR (22) KR (5),,PT/OSD,,708,,"8,000",,...,,B/MT,,TW/OHT,,"700,000 Galls.",,Yes,,"2,230",,20,,660,,930,,...,,22.0,5.0,COMPONENT,,False,5,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
(iii),,Dayalbagh,,PR (5) KR (17),,PT/OSD,,300,,"1,200",,...,,HC/B,,W/TW/OTH,,N. A.,,Yes,,"1,000",,50,,76,,185,,...,,,,COMPONENT,,False,6,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
(iv),,Swamibagh,,PR (2) KR (1),,PT/OSD,,38,,139,,...,,HL,,TW/OHT,,"10,000 Galls.",,...,,220,,2,,157,,12,,...,,2.0,1.0,COMPONENT,,False,7,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
4,,Bah,,PR (2) KR (1),,OSD,,...,,911,,...,,B/MT,,W,,...,,...,,548,,22,,91,,112,,...,,2.0,1.0,ORDINARY,,False,8,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
5,,Dayalbagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Agra City Urban Agglomeration,False,9,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
6,,Etmadpur,,PR (3) KR (1),,OSD,,...,,715,,...,,B/HC,,W/HP,,...,,...,,250,,6,,125,,23,,...,,3.0,1.0,ORDINARY,,False,10,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
7,,Fatehabad,,PR (4) KR (2),,OSD,,...,,680,,10,,B/HL,,W,,...,,...,,500,,10,,80,,111,,...,,1.0,,ORDINARY,,False,11,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
8,,Fatehpur Sikri,,PR (3) KR (2),,PT/OSD/BD,,115,,482,,2,,B/HC,,TW/OHT,,"70,000 Galls.",,...,,207,,25,,141,,201,,...,,3.0,2.0,ORDINARY,,False,12,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
9,,Firozabad,,PR (60) KR (16),,ST/PT/OSD,,"1,100",,"24,800",,100,,MT/HC,,TW/OHT,,"800,000 Galls.",,...,,"4,477",,476,,"2,934",,"1,546",,463,,60.0,16.0,ORDINARY,,False,13,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
10,,Shamshabad,,PR (3) KR (2),,PT/OSD,,13,,"1,987",,10,,B/HL,,TW/OHT,,"5,000 Galls.",,...,,300,,12,,50,,60,,12,,3.0,2.0,ORDINARY,,False,14,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
11,,Swamibagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Agra City Urban Agglomeration,False,15,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
12,,Tundla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Tundla Urban Agglomeration,False,16,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
13,,Tundla Rly. Colony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Tundla Urban Agglomeration,False,17,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
,,Tundla Urban Agglomeration,,PR (4) KR (2),,PT/OSD,,279,,"3,161",,...,,HC,,W/TW/HP/OHT,,"492,550 Galls.",,Yes,,"2,758",,18,,146,,360,,50,,,2.0,AGGREGATE,,False,18,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
(i),,Tundla,,PR (3) KR (2),,PT/OSD,,19,,"1,536",,...,,HC,,W/HP,,...,,...,,"1,873",,17,,86,,47,,50,,3.0,2.0,COMPONENT,,False,19,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
(ii),,Tundla Rly. Colony,,PR (1) KR (0),,PT/OSD,,260,,"1,625",,...,,HC,,TW/OHT,,"492,550 Galls.",,...,,885,,1,,60,,313,,...,,1.0,0.0,COMPONENT,,False,20,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
1,,Aligarh,,PR (330) KR (0),,PT/OSD,,440,,"35,000",,...,,HL/HC,,TW/OHT,,"400,000 Galls.",,Yes,,"121,000",,"4,300",,"2,119",,"4,398",,...,,330.0,0.0,ORDINARY,,False,0,aligarh_civic_1971,Aligarh,Uttar Pradesh,1971,format_001,aligarh_civic_001,aligarh_civic_1971.pdf,dd9100ea8a76d40f6fd62008d6020af86b214bceaa5f1808ba2e8192152050db,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:52.373251+00:00
2,,Atrauli,,PR (14) KR (8),,PT/OSD,,120,,"2,000",,...,,HL,,TW/OHT,,"30,000 Galls.",,...,,611,,33,,"2,115",,302,,...,,14.0,8.0,ORDINARY,,False,1,aligarh_civic_1971,Aligarh,Uttar Pradesh,1971,format_001,aligarh_civic_001,aligarh_civic_1971.pdf,dd9100ea8a76d40f6fd62008d6020af86b214bceaa5f1808ba2e8192152050db,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:52.373251+00:00
3,,Hathras,,PR(70) KR(30),,S/BSD/OSD,,550,,"10,401",,...,,MT,,TW/OHT,,"300,000 Galls.",,Yes,,"3,518",,426,,"1,087",,"1,200",,...,,70.0,30.0,ORDINARY,,False,2,aligarh_civic_1971,Aligarh,Uttar Pradesh,1971,format_001,aligarh_civic_001,aligarh_civic_1971.pdf,dd9100ea8a76d40f6fd62008d6020af86b214bceaa5f1808ba2e8192152050db,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:52.373251+00:00
4,,Mursan,,PR(3) KR(1),,PT/OSD,,200,,800,,...,,HL,,HP,,...,,...,,204,,30,,100,,90,,...,,3.0,1.0,ORDINARY,,False,3,aligarh_civic_1971,Aligarh,Uttar Pradesh,1971,format_001,aligarh_civic_001,aligarh_civic_1971.pdf,dd9100ea8a76d40f6fd62008d6020af86b214bceaa5f1808ba2e8192152050db,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:52.373251+00:00
5,,Sasni,,PR(8) KR(0),,OSD,,,,498,,...,,HL,,HP/W,,...,,...,,302,,35,,225,,107,,...,,8.0,0.0,ORDINARY,,False,4,aligarh_civic_1971,Aligarh,Uttar Pradesh,1971,format_001,aligarh_civic_001,aligarh_civic_1971.pdf,dd9100ea8a76d40f6fd62008d6020af86b214bceaa5f1808ba2e8192152050db,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:52.373251+00:00
6,,Sikandra Rao,,PR(24) KR(16),,PT/OSD,,500,,"3,000",,...,,HL/HC,,TW/OHT,,"30,000 Galls.",,...,,127,,2,,4,,447,,...,,24.0,16.0,ORDINARY,,False,5,aligarh_civic_1971,Aligarh,Uttar Pradesh,1971,format_001,aligarh_civic_001,aligarh_civic_1971.pdf,dd9100ea8a76d40f6fd62008d6020af86b214bceaa5f1808ba2e8192152050db,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:52.373251+00:00
1,,Allahabad See Allahabad City Urban Agglomeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Allahabad City Urban Agglomeration,False,0,allahabad_civic_1971,Allahabad,Uttar Pradesh,1971,format_001,allahabad_civic_001,allahabad_civic_1971.pdf,21464a132b1444f87edae32b28fcef67b9e33d32de3b9016e70a671cb639a375,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:58.476417+00:00
2,,Allahabad Cantt. See Allahabad City Urban Agglomeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Allahabad City Urban Agglomeration,False,1,allahabad_civic_1971,Allahabad,Uttar Pradesh,1971,format_001,allahabad_civic_001,allahabad_civic_1971.pdf,21464a132b1444f87edae32b28fcef67b9e33d32de3b9016e70a671cb639a375,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:58.476417+00:00
,,ALLAHABAD CITY URBAN AGGLOMERATION,,PR (304) KR (41),,S/PT/OSD/BSD,,"4,511",,"26,026",,...,,HC/MT/B,,TW/OHT,,"5,068,400 Galls.",,Yes,,"19,780",,"2,162",,"7,872",,"6,855",,...,,304.0,41.0,AGGREGATE,,False,2,allahabad_civic_1971,Allahabad,Uttar Pradesh,1971,format_001,allahabad_civic_001,allahabad_civic_1971.pdf,21464a132b1444f87edae32b28fcef67b9e33d32de3b9016e70a671cb639a375,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:58.476417+00:00
(i),,Allahabad,,PR (287) KR (41),,S/OSD/BSD,,"4,406",,"25,400",,...,,HC/MT/B,,TW/OHT,,"4,975,500 Galls.",,Yes,,"19,052",,"2,162",,"7,854",,"6,415",,...,,287.0,41.0,COMPONENT,,False,3,allahabad_civic_1971,Allahabad,Uttar Pradesh,1971,format_001,allahabad_civic_001,allahabad_civic_1971.pdf,21464a132b1444f87edae32b28fcef67b9e33d32de3b9016e70a671cb639a375,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:58.476417+00:00
(ii),,Allahabad Cantt.,,PR (9) KR (0),,OSD,,...,,237,,...,,B,,TW/OHT,,"10,000 Galls.",,Yes,,250,,...,,7,,320,,...,,9.0,0.0,COMPONENT,,False,4,allahabad_civic_1971,Allahabad,Uttar Pradesh,1971,format_001,allahabad_civic_001,allahabad_civic_1971.pdf,21464a132b1444f87edae32b28fcef67b9e33d32de3b9016e70a671cb639a375,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:58.476417+00:00
(iii),,Subedarganj Rly. Colony,,PR (8) KR (0),,PT/OSD,,105,,389,,...,,B,,TW/OHT,,"82,900 Galls.",,...,,478,,...,,11,,120,,...,,8.0,0.0,COMPONENT,,False,5,allahabad_civic_1971,Allahabad,Uttar Pradesh,1971,format_001,allahabad_civic_001,allahabad_civic_1971.pdf,21464a132b1444f87edae32b28fcef67b9e33d32de3b9016e70a671cb639a375,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:58.476417+00:00
3,,Bharatganj,,PR (2) KR (1),,OSD,,...,,325,,...,,B,,W,,...,,...,,75,,7,,...,,20,,...,,2.0,1.0,ORDINARY,,False,6,allahabad_civic_1971,Allahabad,Uttar Pradesh,1971,format_001,allahabad_civic_001,allahabad_civic_1971.pdf,21464a132b1444f87edae32b28fcef67b9e33d32de3b9016e70a671cb639a375,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:58.476417+00:00
4,,Mauaima,,PR (6) KR (5),,OSD,,...,,900,,30,,B,,W/HP,,...,,...,,152,,107,,3,,5,,...,,6.0,5.0,ORDINARY,,False,7,allahabad_civic_1971,Allahabad,Uttar Pradesh,1971,format_001,allahabad_civic_001,allahabad_civic_1971.pdf,21464a132b1444f87edae32b28fcef67b9e33d32de3b9016e70a671cb639a375,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:58.476417+00:00
5,,Phulpur,,PR (4) KR (6),,OSD,,...,,983,,...,,B,,W/HP,,...,,...,,260,,3,,43,,40,,...,,4.0,6.0,ORDINARY,,False,8,allahabad_civic_1971,Allahabad,Uttar Pradesh,1971,format_001,allahabad_civic_001,allahabad_civic_1971.pdf,21464a132b1444f87edae32b28fcef67b9e33d32de3b9016e70a671cb639a375,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:58.476417+00:00
6,,Sirsa,,PR (3) KR (2),,ST/OSD,,4,,442,,...,,HC,,TW/OHT,,"15,000 Galls.",,...,,247,,18,,7,,32,,...,,3.0,2.0,ORDINARY,,False,9,allahabad_civic_1971,Allahabad,Uttar Pradesh,1971,format_001,allahabad_civic_001,allahabad_civic_1971.pdf,21464a132b1444f87edae32b28fcef67b9e33d32de3b9016e70a671cb639a375,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:58.476417+00:00
7,,Subedarganj Rly. Colony See Allahabad City Urban Agglomeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Allahabad City Urban Agglomeration,False,10,allahabad_civic_1971,Allahabad,Uttar Pradesh,1971,format_001,allahabad_civic_001,allahabad_civic_1971.pdf,21464a132b1444f87edae32b28fcef67b9e33d32de3b9016e70a671cb639a375,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:58.476417+00:00
1,,Almora See Almora Urban Agglomeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Almora Urban Agglomeration,False,0,almora_civic_1971,Almora,Uttar Pradesh,1971,format_001,almora_civic_001,almora_civic_1971.pdf,3766e7bd7375f3cdfc7d620138a5c99d6c8c86d8c30b9e12716e160531a1dd05,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:03.845934+00:00
2,,Almora Cantt. See Almora Urban Agglomeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Almora Urban Agglomeration,False,1,almora_civic_1971,Almora,Uttar Pradesh,1971,format_001,almora_civic_001,almora_civic_1971.pdf,3766e7bd7375f3cdfc7d620138a5c99d6c8c86d8c30b9e12716e160531a1dd05,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:03.845934+00:00
,,Almora Urban Agglomeration,,PR (26) KR (0.2),,ST/OSD,,510,,"2,523",,12,,HL/MT,,SR/R,,"438,000 Galls.",,Yes,,"1,861",,11,,687,,784,,...,,26.0,0.2,AGGREGATE,,False,2,almora_civic_1971,Almora,Uttar Pradesh,1971,format_001,almora_civic_001,almora_civic_1971.pdf,3766e7bd7375f3cdfc7d620138a5c99d6c8c86d8c30b9e12716e160531a1dd05,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:03.845934+00:00
(i),,Almora,,PR (25) KR (8.2),,ST/OSD,,500,,"2,500",,...,,HL/MT,,SR/R,,"120,000 Galls.",,Yes,,"1,840",,10,,680,,784,,...,,25.0,8.2,COMPONENT,,False,3,almora_civic_1971,Almora,Uttar Pradesh,1971,format_001,almora_civic_001,almora_civic_1971.pdf,3766e7bd7375f3cdfc7d620138a5c99d6c8c86d8c30b9e12716e160531a1dd05,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:03.845934+00:00
