pdf_id,file_name,state,district,year,format_id,source_pdf,source_page_start,source_page_end
dehra_dun_tehsil_1971,dehra_dun_tehsil_1971.pdf,Uttar Pradesh,Dehra Dun,1971,format_003,1971 Dehra Dun.pdf,117,118
deoria_civic_1971,deoria_civic_1971.pdf,Uttar Pradesh,Deoria,1971,format_001,1971 Deoria.pdf,25,26
deoria_mededu_1971,deoria_mededu_1971.pdf,Uttar Pradesh,Deoria,1971,format_002,1971 Deoria.pdf,25,26
deoria_tehsil_1971,deoria_tehsil_1971.pdf,Uttar Pradesh,Deoria,1971,format_003,1971 Deoria.pdf,381,382
etah_civic_1971,etah_civic_1971.pdf,Uttar Pradesh,Etah,1971,format_001,1971 Etah.pdf,25,26
etah_mededu_1971,etah_mededu_1971.pdf,Uttar Pradesh,Etah,1971,format_002,1971 Etah.pdf,27,28
etah_tehsil_1971,etah_tehsil_1971.pdf,Uttar Pradesh,Etah,1971,format_003,1971 Etah.pdf,189,190
etawah_civic_1971,etawah_civic_1971.pdf,Uttar Pradesh,Etawah,1971,format_001,1971 Etawah.pdf,24,25
etawah_mededu_1971,etawah_mededu_1971.pdf,Uttar Pradesh,Etawah,1971,format_002,1971 Etawah.pdf,24,25
etawah_tehsil_1971,etawah_tehsil_1971.pdf,Uttar Pradesh,Etawah,1971,format_003,1971 Etawah.pdf,180,181
faizabad_civic_1971,faizabad_civic_1971.pdf,Uttar Pradesh,Faizabad,1971,format_001,1971 Faizabad.pdf,26,27
faizabad_mededu_1971,faizabad_mededu_1971.pdf,Uttar Pradesh,Faizabad,1971,format_002,1971 Faizabad.pdf,28,29
faizabad_tehsil_1971,faizabad_tehsil_1971.pdf,Uttar Pradesh,Faizabad,1971,format_003,1971 Faizabad.pdf,296,297
farrukhabad_civic_1971,farrukhabad_civic_1971.pdf,Uttar Pradesh,Farrukhabad,1971,format_001,1971 Farrukhabad.pdf,18,19
farrukhabad_mededu_1971,farrukhabad_mededu_1971.pdf,Uttar Pradesh,Farrukhabad,1971,format_002,1971 Farrukhabad.pdf,20,21
farrukhabad_tehsil_1971,farrukhabad_tehsil_1971.pdf,Uttar Pradesh,Farrukhabad,1971,format_003,1971 Farrukhabad.pdf,190,191
fatehpur_civic_1971,fatehpur_civic_1971.pdf,Uttar Pradesh,Fatehpur,1971,format_001,1971 Fatehpur.pdf,28,29
fatehpur_mededu_1971,fatehpur_mededu_1971.pdf,Uttar Pradesh,Fatehpur,1971,format_002,1971 Fatehpur.pdf,28,29
fatehpur_tehsil_1971,fatehpur_tehsil_1971.pdf,Uttar Pradesh,Fatehpur,1971,format_003,1971 Fatehpur.pdf,178,179
garhwal_civic_1971,garhwal_civic_1971.pdf,Uttar Pradesh,Garhwal,1971,format_001,1971 Garhwal.pdf,25,26
garhwal_mededu_1971,garhwal_mededu_1971.pdf,Uttar Pradesh,Garhwal,1971,format_002,1971 Garhwal.pdf,27,28
garhwal_tehsil_1971,garhwal_tehsil_1971.pdf,Uttar Pradesh,Garhwal,1971,format_003,1971 Garhwal.pdf,355,356
gonda_civic_1971,gonda_civic_1971.pdf,Uttar Pradesh,Gonda,1971,format_001,1971 Gonda.pdf,23,24
gonda_mededu_1971,gonda_mededu_1971.pdf,Uttar Pradesh,Gonda,1971,format_002,1971 Gonda.pdf,23,24
gonda_tehsil_1971,gonda_tehsil_1971.pdf,Uttar Pradesh,Gonda,1971,format_003,1971 Gonda.pdf,293,294
gorakhpur_civic_1971,gorakhpur_civic_1971.pdf,Uttar Pradesh,Gorakhpur,1971,format_001,1971 Gorakhpur.pdf,28,29
gorakhpur_mededu_1971,gorakhpur_mededu_1971.pdf,Uttar Pradesh,Gorakhpur,1971,format_002,1971 Gorakhpur.pdf,28,29
gorakhpur_tehsil_1971,gorakhpur_tehsil_1971.pdf,Uttar Pradesh,Gorakhpur,1971,format_003,1971 Gorakhpur.pdf,456,457
hamirpur_civic_1971,hamirpur_civic_1971.pdf,Uttar Pradesh,Hamirpur,1971,format_001,1971 Hamirpur.pdf,26,27
hamirpur_mededu_1971,hamirpur_mededu_1971.pdf,Uttar Pradesh,Hamirpur,1971,format_002,1971 Hamirpur.pdf,26,27
hamirpur_tehsil_1971,hamirpur_tehsil_1971.pdf,Uttar Pradesh,Hamirpur,1971,format_003,1971 Hamirpur.pdf,154,155
hardoi_civic_1971,hardoi_civic_1971.pdf,Uttar Pradesh,Hardoi,1971,format_001,1971 Hardoi.pdf,30,31
hardoi_mededu_1971,hardoi_mededu_1971.pdf,Uttar Pradesh,Hardoi,1971,format_002,1971 Hardoi.pdf,32,33
hardoi_tehsil_1971,hardoi_tehsil_1971.pdf,Uttar Pradesh,Hardoi,1971,format_003,1971 Hardoi.pdf,228,229
jalaun_civic_1971,jalaun_civic_1971.pdf,Uttar Pradesh,Jalaun,1971,format_001,1971 Jalaun.pdf,25,26
jalaun_mededu_1971,jalaun_mededu_1971.pdf,Uttar Pradesh,Jalaun,1971,format_002,1971 Jalaun.pdf,27,28
jalaun_tehsil_1971,jalaun_tehsil_1971.pdf,Uttar Pradesh,Jalaun,1971,format_003,1971 Jalaun.pdf,149,150
jaunpur_civic_1971,jaunpur_civic_1971.pdf,Uttar Pradesh,Jaunpur,1971,format_001,1971 Jaunpur.pdf,27,28
jaunpur_mededu_1971,jaunpur_mededu_1971.pdf,Uttar Pradesh,Jaunpur,1971,format_002,1971 Jaunpur.pdf,29,30
jaunpur_tehsil_1971,jaunpur_tehsil_1971.pdf,Uttar Pradesh,Jaunpur,1971,format_003,1971 Jaunpur.pdf,354,355
jhansi_civic_1971,jhansi_civic_1971.pdf,Uttar Pradesh,Jhansi,1971,format_001,1971 Jhansi.pdf,35,36
jhansi_mededu_1971,jhansi_mededu_1971.pdf,Uttar Pradesh,Jhansi,1971,format_002,1971 Jhansi.pdf,37,38
jhansi_tehsil_1971,jhansi_tehsil_1971.pdf,Uttar Pradesh,Jhansi,1971,format_003,1971 Jhansi.pdf,209,210
kanpur_civic_1971,kanpur_civic_1971.pdf,Uttar Pradesh,Kanpur,1971,format_001,1971 Kanpur.pdf,31,32
kanpur_mededu_1971,kanpur_mededu_1971.pdf,Uttar Pradesh,Kanpur,1971,format_002,1971 Kanpur.pdf,33,34
kanpur_tehsil_1971,kanpur_tehsil_1971.pdf,Uttar Pradesh,Kanpur,1971,format_003,1971 Kanpur.pdf,243,244
kheri_civic_1971,kheri_civic_1971.pdf,Uttar Pradesh,Kheri,1971,format_001,1971 Kheri.pdf,27,28
kheri_mededu_1971,kheri_mededu_1971.pdf,Uttar Pradesh,Kheri,1971,format_002,1971 Kheri.pdf,27,28
kheri_tehsil_1971,kheri_tehsil_1971.pdf,Uttar Pradesh,Kheri,1971,format_003,1971 Kheri.pdf,197,198
lucknow_civic_1971,lucknow_civic_1971.pdf,Uttar Pradesh,Lucknow,1971,format_001,1971 Lucknow.pdf,24,25
lucknow_mededu_1971,lucknow_mededu_1971.pdf,Uttar Pradesh,Lucknow,1971,format_002,1971 Lucknow.pdf,26,27
lucknow_tehsil_1971,lucknow_tehsil_1971.pdf,Uttar Pradesh,Lucknow,1971,format_003,1971 Lucknow.pdf,124,125
mainpuri_civic_1971,mainpuri_civic_1971.pdf,Uttar Pradesh,Mainpuri,1971,format_001,1971 Mainpuri.pdf,21,22
mainpuri_mededu_1971,mainpuri_mededu_1971.pdf,Uttar Pradesh,Mainpuri,1971,format_002,1971 Mainpuri.pdf,23,24
